id,podjetje,ime_igre
21231,BattleGoat Studios,Supreme Ruler 1936
21232,BattleGoat Studios,Supreme Ruler 2020 Gold
21233,BattleGoat Studios,Supreme Ruler The Great War
21234,BattleGoat Studios,Supreme Ruler Ultimate
21235,BattleGoat Studios,Supreme Ruler: Cold War
21236,Nexeon Studios,Supreme: Pizza Empire
21237,Table Flip Games,Sure Footing
21238,Vision Games Publishing LTD,Surf World Series
21239,Big Fish Games,Surface: Alone in the Mist Collector's Edition
21240,Big Fish Games,Surface: Game of Gods Collector's Edition
21241,Big Fish Games,Surface: Reel Life Collector's Edition
21242,Big Fish Games,Surface: Return to Another World Collector's Edition
21243,Big Fish Games,Surface: The Pantheon Collector's Edition
21244,Red Triangle Games,Surfasaurus
21245,Forever Entertainment S. A.,Surfingers
21246,MatchBox Studio,Surge
21247,House of Secrets,Surge
21248,Bossa Studios,Surgeon Simulator
21249,Bossa Studios,Surgeon Simulator VR: Meet The Medic
21250,Bossa Studios,Surgeon Simulator: Experience Reality
21251,"HealthCare VR Innovations, Inc.",Surgera VR
21252,Surreal Games,SurrealVR
21253,Quiet Storm,Surrogate
21254,Rocking Hamster,SurvHive
21255,Vostok Games,Survarium
21256,Easy Joy Ltd.,Survisland / 实境求生
21257,重庆第五维科技有限公司,Survival
21258,Rockbyte,Survival Ball
21259,ERTYNEA,Survival Diary
21260,Tero Lunkka,Survival Driver
21261,2.0 Studios,Survival Games
21262,Fixer Games,Survival Is Not Enough
21263,Bat Byte,Survival Kingdom
21264,TAC Games,Survival Maze
21265,NexusLab,Survival Planet
21266,Lucid Pixel,Survival Simulator VR
21267,90E GAMES,Survival Space: Unlimited Shooting
21268,Displacement Studios,Survival Tycoon
21269,Newsight Games,Survival VR
21270,Racing Bros,Survival Zombies The Inverted Evolution
21271,Tero Lunkka,Survival driver 2: Heavy vehicles
21272,BloodMoon Games,Survival: Last Day
21273,RewindApp,SurvivalZ
21274,Ginormocorp Holdings Ltd,Survivalist
21275,IronBoundManzer,Survivalizm - The Animal Simulator
21276,Interactive Gaming Studios,Survive
21277,Miolhr SM,Survive Me Miolhr
21278,Retro Bullet,Survive Zombies
21279,Cloaz Studio,Survive in Angaria
21280,Cloaz Studio,Survive in Angaria 2
21281,Just1337 Publisher,Survive in Space
21282,a2z Interactive,Survive the Nights
21283,Deverinos,Survive the West
21284,WhackAKey Games,Survive: The king killer
21285,Digital Extremes,Survived By
21286,Paradox Interactive,Surviving Mars
21287,Dexion Games,Surviving in the forest
21288,SGStudio Games,Survivor Island
21289,Endless Loop Studios,Survivor Squad
21290,Endless Loop Studios,Survivor Squad: Gauntlets
21291,Lucid Dream Studio,Survivor VR
21292,TheElvenTale Games,Survivor in Summer
21293,Fellowplayer,Survivor of Eschewal
21294,Sandboss Studios,Survivors of Borridor
21295,AnelaGamesStudio,SushiParty
21296,Garnudo Games,Suzaku Fly VR
21297,Noodlecake Studios Inc.,Suzy Cube
21298,Bullid Games,Swamp Jump
21299,Wetgenes,Swanky Paint
21300,WizByte Games,Swap Blocks
21301,Peace,Swap Roles
21302,MediaPod,Swap Swap
21303,Kryper,Swap! Swap! Swap!
21304,Rebusmind,SwapQuest
21305,Rynder Games,Swapper Tiles
21306,Fallen Tree Games Ltd,Swapperoo
21307,TeamTrap,Swaps and Traps
21308,Dedication Games,Swarm Arena
21309,Helmi Bastami,Swarm Queen
21310,Dedication Games,Swarm Universe
21311,Dominique Grieshofer,Swarmlake
21312,Frozen Flame,Swatcher
21313,Sometimes You,SweatShop
21314,Delattre & Harger,Sweaty Palms
21315,SweepBros,Sweep'n'Sweep
21316,Mengtu Technology Co. Ltd,Sweeper Zero
21317,Awesome Stuff Software,SweeperVR
21318,EnsenaSoft,Sweet Candy Mahjong
21319,"Reality Smash, Inc.",Sweet Escape VR
21320,Degica,Sweet Lily Dreams
21321,Studio Gamaii,Sweet Seasons
21322,RedZone Studios LLC,Sweet Treats
21323,NewWestGames,Sweet Volley High
21324,7DOTS,Sweet fantasy
21325,ebi-hime,Sweetest Monster
21326,Windybeard,Sweezy Gunner
21327,CG-Interactive,Sweven
21328,Windflow,Swift
21329,Cleverweek,Swiftly
21330,Lozange Lab,Swim Out
21331,Lazarus Software,Swing the cat
21332,Computer Lunch,SwingStar VR
21333,Jason Chalky,Swingin Swiggins
21334,Thulium Games,Swingy Sword
21335,Fabio Cunha,Swipe Fruit Smash
21336,Micro Factory Games,Swipecart
21337,NCH Software,Switch
21338,Matt Glanville,Switch 'N' Shoot
21339,Koruka,Switch - Black & White
21340,Threye Interactive,Switch - Or Die Trying
21341,Green Man Gaming Publishing,Switch Galaxy Ultra
21342,Lucid Publishing Ltd,Switchblade
21343,Altfuture,Switchcars
21344,LostownStudio,Switcher
21345,Stuffed Castle Studios,Sword 'N' Board
21346,BANDAI NAMCO Entertainment,Sword Art Online Re: Hollow Fragment
21347,BANDAI NAMCO Entertainment,Sword Art Online: Fatal Bullet
21348,BANDAI NAMCO Entertainment,Sword Art Online: Hollow Realization Deluxe Edition
21349,BANDAI NAMCO Entertainment,Sword Art Online: Lost Song
21350,Drew Wallace,Sword Bros
21351,Hanako Games,Sword Daughter
21352,Team17 Digital Ltd,Sword Legacy: Omen
21353,Bypass Game Studios,Sword Mans
21354,Master Indie,Sword Master VR
21355,Diatomic Games,Sword With Sauce
21356,Dharker Studio,Sword of Asumi
21357,vDog,Sword of Rapier
21358,SEGA,Sword of Vermilion
21359,Steam,Sword of the Black Stone
21360,Billy Chan Studio,Sword of the Guardian
21361,Paradox Interactive,Sword of the Stars II: Enhanced Edition
21362,Paradox Interactive,Sword of the Stars: Complete Collection
21363,GogglesKitty,SwordBounce
21364,DuCats Games Studio,Swordbreaker The Game
21365,Justin Varghese,Swordlord
21366,Epic Devs LLC,Swords & Crossbones: An Epic Pirate Story
21367,eGames.com,Swords and Sandals 2 Redux
21368,eGames.com,Swords and Sandals 5 Redux: Maximus Edition
21369,eGames.com,Swords and Sandals Medieval
21370,eGames.com,Swords and Sandals Pirates
21371,Ronimo Games,Swords and Soldiers 2 Shawarmageddon
21372,Ronimo Games,Swords and Soldiers HD
21373,OlderBytes,Swords and Sorcery - Underworld - Definitive Edition
21374,WhackAKey Games,Swords with spice
21375,Microids,Syberia
21376,Microids,Syberia 3
21377,Microids,Syberia II
21378,Studio Evil,Syder Arcade
21379,Wise Dad Games,Sydney's World
21380,Siddharth Bhavsar,Syko Swinger
21381,Stroboskop,Sylvio
21382,Stroboskop,Sylvio 2
21383,Mastertronic,Sym
21384,VT Publishing,Symbiotic Overload
21385,Little Robot Games,Symphonic Mayhem
21386,Degica,Symphonic Rain
21387,Brian Fitzgerald,Symphonics: Make Music in VR
21388,Empty Clip Studios,Symphony
21389,Stirfire Studios,Symphony of the Machine
21390,Videojuegos Fermín,Symploke: Legend of Gustavo Bueno (Chapter 1)
21391,Videojuegos Fermín,Symploke: Legend of Gustavo Bueno (Chapter 2)
21392,TallShrimp,Synced Warriors
21393,"Camel 101, WhisperGames",Syndrome
21394,Bigmoon Entertainment,Syndrome VR
21395,Christopher Cinq-Mars Jarvis,Synonymy
21396,Unlit Interactive,Synth Ninja
21397,Kluge Interactive,Synth Riders
21398,Alexander Moro,Synthetic Dreams
21399,KEXBOY,Synthetic Love
21400,Roseball Games,Synthrally
21401,LoneDev,Synthwave Dream '85
21402,Cats Who Play,Syrian Warfare
21403,Rogue Moon Studios,System Crash
21404,Joseph Calabro,System Goose Overload
21405,Nightdive Studios,System Shock: Enhanced Edition
21406,56 Game Studios,System Siege
21407,Felix Wunderlich,Systematic Immunity
21408,Milestone S.r.l.,Sébastien Loeb Rally EVO
21409,Mexond,T-Kara Puzzles
21410,Choice of Games,T-Rex Time Machine
21411,BulkyPix,T.E.C. 3001
21412,Vagabond Software GmbH,T3 - Take the Turn
21413,Gameface Games Ltd,TACTICAL
21414,"Modern Aeon, JALE CORP",TAD: That Alien Dude
21415,Team 4U,TAIKER
21416,KITATUS,TAIKU MANSION
21417,"Math Nerd Productions, LLC",TAKEN
21418,Snkl Studio,TAL: Arctic
21419,Snkl Studio,TAL: Arctic 2
21420,Snkl Studio,TAL: Arctic 3
21421,Snkl Studio,TAL: Jungle
21422,Big Evil Corporation,TANGLEWOOD
21423,wHDinc.,TANK SOULS
21424,Oleksandr Savostianov,TANKS
21425,Andreas Ammer,TAOTH - The Adventures of the Herkulez
21426,NA,TAP TOUCH RUN
21427,Freshtrax,TARGET
21428,TPM.CO SOFT WORKS,TAROTICA VOO DOO
21429,Abyss Gameworks,TARTARUS
21430,SkyBox Labs,TASTEE: Lethal Tactics
21431,S.C. 16 BIT NIGHTS S.R.L.,TAURONOS
21432,"WOMBO COMBO GAMES INC., Mindpress",TAVERN GUARDIANS: BANQUET
21433,SHIBAPOWER,TAYAL
21434,HMBSbige,TCPingInfoView
21435,dev4ent,TD Ultimate (Restocked)
21436,JAVELIN OÜ,TDP4:Team Battle
21437,Javelin OÜ,TDP5 Arena 3D
21438,Creativ Game Developer LLC,TEEN DATE SIMULATOR
21439,BANDAI NAMCO Entertainment,TEKKEN 7
21440,SEGA,TEMBO THE BADASS ELEPHANT
21441,ALTER-BOY,TENET
21442,keepgamesimple,TENKYU
21443,"Edsenses Creative Co., Ltd",TEOT - The End OF Tomorrow
21444,En Masse Entertainment,TERA
21445,Denis Isakov,TERRAGEARTH
21446,EvilCoGames,TERRORHYTHM (TRRT) - Rhythm driven action beat 'em up!
21447,Ratalaika Games S.L.,TETRA's Escape
21448,RS Games,TEVA
21449,Laush Studio,TEXT
21450,Thick & Thin,THE 2048
21451,evlavv_studio,THE ARCHER: Dead Hunt
21452,Atriagames,THE ART - Puzzle
21453,"Oh, a Rock! Studios",THE AWKWARD STEVE DUOLOGY
21454,"INTHEMIDDLE, NAKAMA VR",THE BOX VR
21455,Reloaded Studios,THE DAY Online
21456,games by lum,THE DEVIL HAUNTS ME
21457,meokigame,THE E BALL
21458,ENIGMA CORPORATION,THE ENIGMA MACHINE
21459,Marmalade Game Studio Ltd,THE GAME OF LIFE
21460,ATTACK MOUNTAIN,THE GREY MAN
21461,KoheiGallery,THE HOUCHI PLAY -THE 放置プレイ-
21462,SNK CORPORATION,THE KING OF FIGHTERS '97 GLOBAL MATCH
21463,SNK CORPORATION,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION
21464,SNK CORPORATION,THE KING OF FIGHTERS 2002 UNLIMITED MATCH
21465,SNK CORPORATION,THE KING OF FIGHTERS XIII STEAM EDITION
21466,SNK CORPORATION,THE KING OF FIGHTERS XIV STEAM EDITION
21467,SNK CORPORATION,THE LAST BLADE
21468,SNK CORPORATION,THE LAST BLADE 2
21469,Texas Interactive,THE LAST HUNT
21470,Square Enix,THE QUIET MAN
21471,PixelTrip Studios,THE VIDEOKID
21472,Intelligent Systems,THORNYWAY
21473,Deceptive Games,THOSE DAMN ALIENS! VR
21474,Double Fine Presents,THOTH
21475,TigerQiuQiu,TIGER GAME ROM KNIFE
21476,Indovers Studio,TILE
21477,Random Seed Games,TIMEframe
21478,Sony Music Entertainment (Japan) Inc. / UNTIES,TINY METAL
21479,Zachtronics,TIS-100
21480,Indie Games Studio,TITAN HUNTER
21481,"COLOPL, Inc.",TITAN SLAYER
21482,Immersive VR Education PLC,TITANIC Shipwreck Exploration
21483,IndieGala,TITANS: Dawn of Tribes
21484,Chocolate Ship Games,TMM: Entourage
21485,Console Classics,TNN Motorsports Hardcore TR
21486,Electric Hat Games LLC.,TO THE TOP
21487,AURORA Games,TOGETHER VR
21488,Crew Lab,TOK
21489,Pablo Vidaurre Sanz,TOKYO WARFARE
21490,Peace & Love Games,TOMORROW DON'T COME - Puzzling Depression
21491,Juniper GmbH,TOTM
21492,Artur Rezende,TOTOBALL
21493,IndieLip,TOXIC PLUMBING
21494,Reakktor Studios,TOXIKK
21495,"Lorenzo Games, Michael L. Fiorentino Gutierrez",TRAFICO
21496,SpaceGiraff3,TRAGO
21497,Fatmoth,TRANCE VR
21498,Ynor,TRANSCEND
21499,UWILMOD,TRATEL64
21500,iconical Ltd.,TREBUCHET
21501,The Strangers,TREE
21502,VRotein,TRESPASS - Episode 1
21503,VRotein,TRESPASS - Episode 2
21504,NIGHTBOX,TRI.DEFENDER
21505,Rat King Entertainment,TRI: Of Friendship and Madness
21506,Léo-Paul LACHARTRE,TRIGGER
21507,Dry Eel Development,TRIGGERED
21508,Pal Diaray,TRIP
21509,Axel Shokk,TRIP Steam Edition
21510,Ammonite Design Studios Ltd,TRIPLE TWENTY - VR Darts
21511,Headup Games,TRISTOY
21512,Degica,TRIZEAL Remix
21513,KINGSGUARD GAMES,TROID BLASTER
21514,Disney Interactive,TRON RUN/r
21515,Another Noname,TRYON
21516,Out There Entertainment,TSA Frisky
21517,OhNoo Studio,TSIOQUE
21518,FUNYOURS,TSUKUMOHIME
21519,Bigben Interactive,TT Isle of Man
21520,Walter Machado,TTV2
21521,Nerd Kingdom Inc.,TUG
21522,Spasman Games,TUNNEL DIVERS
21523,OtakuMaker.com,TURGUL: RAPID FIGHTING
21524,Genesz,TURRET SYNDROME VR
21525,zerofiftyone,TV Trouble
21526,Trollbae Studios,TV189
21527,NedoStudio,TWIN BROS
21528,SNK CORPORATION,TWINKLE STAR SPRITES
21529,Krome Studios,TY the Tasmanian Tiger
21530,Krome Studios,TY the Tasmanian Tiger 2
21531,Krome Studios,TY the Tasmanian Tiger 3
21532,Krome Studios,TY the Tasmanian Tiger 4
21533,Sekrit Games,TYRED
21534,Deathly Ideas,TZOMPANTLI
21535,Ticklersoft,Table Football Pro
21536,Playrise Digital Ltd.,Table Top Racing: World Tour
21537,Big Ant Studios,TableTop Cricket
21538,Dancing Developers,TableTop Soccer
21539,RedZone Studios LLC,Tabletop Basketball VR
21540,Berserk Games,Tabletop Simulator
21541,Tabletopia Inc.,Tabletopia
21542,Eclipse Games,Tachyon Project
21543,"NovaLogic, THQ Nordic",Tachyon: The Fringe
21544,eNVy softworks,Taco Gun
21545,Tinzone Games,Taco Tom 2
21546,Game Mechanics LLC,Taco Truck Madness
21547,KLNK Inc.,TacoFace
21548,Fullbright,Tacoma
21549,Cherry Pie Games,Tacopocalypse
21550,E McNeill,Tactera
21551,NaA Studios,Tactic Code - 战术代码
21552,Tactical AR,Tactical AR
21553,Sekai Project,Tactical Chronicle
21554,Crematorium of Time,Tactical Craft Online
21555,Pixeltales.ru,Tactical Genius Online
21556,Drageus Games,Tactical Mind
21557,Camex Games,Tactical Monsters Rumble Arena
21558,Bitlock Studio,Tactical Operations
21559,KISS ltd,Tactical Soccer The New Season
21560,singi,Tactics & Strategy Master 2:Princess of Holy Light（圣光战姬）
21561,singi,Tactics & Strategy Master:Joan of Arc
21562,Capt McCay Soft,Tactics 2: War
21563,Mangobile,Tactics Maiden Remastered
21564,Joseph Griggs,Tactics Rogue
21565,Capt. McCay Soft,Tactics: Bludgeons Blessing
21566,Biscuit Cat Studio,Tadpole Swimmer
21567,"BitFinity, Sunken Treasure Games",Tadpole Treble
21568,Hello There Games,Taekwondo Grand Prix
21569,Whale Hammer Games,Tahira: Echoes of the Astral Empire
21570,"KOEI TECMO GAMES CO., LTD.",Taikou Risshiden / 太閤立志伝
21571,Right Pedal Studios,Tail Drift
21572,Dreamcave Studio,Tails
21573,ClickGames,Tailwind
21574,Peter Manfreda,TailzFromTheGrave
21575,Paradise Project,Taima Miko Yuugi
21576,"TERNOX, Victory Road",Taimumari
21577,"Delta Reality, Misfit Village",Tainted Fate
21578,The Local Group,Take Care of the Paperwork
21579,"NorbSoftDev, Paradox Interactive",Take Command - 2nd Manassas
21580,astragon Entertainment,Take Off - The Flight Simulator
21581,Bohemia Interactive,Take On Helicopters
21582,Bohemia Interactive,Take On Mars
21583,S.Y. GAMES,Take That
21584,Charyb Games,Take Thy Throne
21585,Ebenit,Take the Cake
21586,Yai Gameworks,Take the Dream IX
21587,505 Games,Takedown: Red Sabre
21588,Shaman Games Studio,Taken Souls: Blood Ritual Collector's Edition
21589,Shaman Games Studio,Taken Souls: Blood Ritual Collector's Edition
21590,WanWei,Takeout food
21591,AVA Gaming,Taking Valhalla VR
21592,Alejandro Moreno,Tale of Alamar
21593,BigTapir Games,Tale of Fallen Dragons
21594,As-key,Tale of Legends -伝創記-
21595,VinciGames,Tale of Palmi
21596,Toasty Leaf AB,Tale of Toast
21597,jitensyasougyou,Tale of the Fragmented Star: Single Fragment Version / 星の欠片の物語、ひとかけら版
21598,Frima Originals,Talent Not Included
21599,Critical Games,Tales Across Time
21600,DrinkBox Studios,Tales From Space: Mutant Blobs Attack
21601,Libredia Entertainment,Tales From The Dragon Mountain 2: The Lair
21602,Libredia Entertainment,Tales From The Dragon Mountain: The Strix
21603,Moral Anxiety Studio,Tales From Windy Meadow
21604,BlackTale Games,Tales Of Glory
21605,OGPlanet,Tales Runner
21606,Screen 7,Tales [PC]
21607,BKOM Studios,Tales from Candlekeep: Tomb of Annihilation
21608,Telltale Games,Tales from the Borderlands
21609,Black Dog,Tales from the Void
21610,XIAOYAO,Tales of Adventure 2
21611,Winter Wolves,Tales of Aravorn: Seasons Of The Wolf
21612,BANDAI NAMCO Entertainment,Tales of Berseria
21613,Red Dwarf Games,Tales of Cosmos
21614,Tero Lunkka,Tales of Destruction
21615,OnSkull Games,Tales of Escape
21616,深圳槟果文化科技有限公司,Tales of Glacier (VR)
21617,magnussoft,Tales of Inca - Lost Land
21618,Black Banshee Studios,Tales of Mahabharata
21619,Netcore Games,Tales of Maj'Eyal
21620,Telltale Games,Tales of Monkey Island Complete Pack
21621,Telltale Games,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay
21622,Telltale Games,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan
21623,Telltale Games,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood
21624,Telltale Games,Tales of Monkey Island Complete Pack: Chapter 5 - Rise of the Pirate God
21625,GrayTower,Tales of Nebezem: Elemental Link
21626,BANDAI NAMCO Entertainment,Tales of Symphonia
21627,Big Fish Games,Tales of Terror: Crimson Dawn
21628,Big Fish Games,Tales of Terror: House on the Hill Collector's Edition
21629,Square Enix,Tales of Wedding Rings VR
21630,SakuraGame,Tales of Winds: Tomb of the Sol Empire
21631,BANDAI NAMCO Entertainment,Tales of Zestiria
21632,RandomBeats Music,Tales of the Elements
21633,Sometimes You,Tales of the Lumminai
21634,Green Sauce Games,Tales of the Orient: The Rising Sun
21635,Pixelsplit,Tales of the Tiny Planet
21636,WindLimit,Talewind
21637,Asmodee Digital,Talisman: Digital Edition
21638,Nomad Games,Talisman: Prologue
21639,Nomad Games,Talisman: The Horus Heresy
21640,"PopCap Games, Inc.",Talismania Deluxe
21641,Nekomura Games,Talk to Aya
21642,Nekomura Games,Talk to Saki
21643,Nekomura Games,Talk to Yuno
21644,Chris McFarland,Tallowmere
21645,Choice of Games,Tally Ho
21646,"GUANGZHOU HUANTEK CO.,LTD",Talos VR
21647,Black Water,Talsaluq: Tower of Infinity
21648,Grip Top Games,Tametsi
21649,OtakuMaker.com,Tangled Up!
21650,Impact Gameworks,Tangledeep
21651,Spilt Milk Studios Ltd,Tango Fiesta
21652,Inca Games,Tango: The Adventure Game
21653,Vertical Reach,Tangrams Deluxe
21654,"Beazle Bee, LLC",TangramsVR
21655,Akella,Tanita: A Plasticine Dream
21656,Daimen Gaming,Tank 51
21657,Starwind Games,Tank Assault X
21658,2 Barrel Arts,Tank Ball
21659,NA,Tank Battle Mania
21660,HexWar Games,Tank Battle: 1944
21661,HexWar Games,Tank Battle: 1945
21662,HexWar Games,Tank Battle: Blitzkrieg
21663,HexWar Games,Tank Battle: East Front
21664,HexWar Games,Tank Battle: Normandy
21665,HexWar Games,Tank Battle: North Africa
21666,HexWar Games,Tank Battle: Pacific
21667,Siberian Digital,Tank Blast
21668,Hangar Bay 12,Tank Blazers
21669,Phung Games,Tank Brawl
21670,stariy8419,Tank Bung
21671,Red Tree Studios,Tank Defense Division
21672,Freedomize Studio,Tank Destroyer
21673,Extreme Developers,Tank Force
21674,Dexion Games,Tank Game
21675,Edougame,Tank Hero VR
21676,Lock 'n Load Publishing,Tank On Tank Digital - West Front
21677,rokapublish,Tank Operations: European Campaign
21678,"13-lab, azimut team",Tank Rush
21679,Go All Games,Tank Slam
21680,INT2000,Tank Tread
21681,Meridian4,Tank Universal
21682,Dialogue Design,Tank Universal 2
21683,Strategy First,Tank Warfare: Tunisia 1943
21684,Stefan Fleischer,Tank Wars: Anniversary Edition
21685,梵天游戏,Tank of War-VR
21686,Metal Fox,Tank raid
21687,Onur Vural,TankBlitz
21688,Snowdon Games,TankCraft
21689,dochengmedia,TankVR
21690,Scorpius Games,TankYou!
21691,Render System,TankZone Battle
21692,AYE Technology,Tanker
21693,APL Publishing Ltd.,Tanki Online
21694,AlternativaPlatform Ltd.,Tanki X
21695,vadimalexepta,Tanking Tanks
21696,Titan Forged Games,Tanks Meet Zombies
21697,Freshfield Studios,Tanks VR
21698,Kajak Games,Tanks With Hands: Armed and Treaded
21699,K Bros Games,Tanks vs Aliens
21700,Dexion Games,Tanks!!!
21701,M2H,Tannenberg
21702,hallunazigames,Tap & Clapp
21703,Panoramik inc,Tap Adventure: Time Travel
21704,Screenzilla,Tap Cats: Battle Arena
21705,VaragtP,Tap Heroes
21706,Scary Bee LLC,Tap Tap Infinity
21707,YFC games,Tap Tap Legions - Epic battles within 5 seconds!
21708,Fiery Phoenix,TapRPG - Homeland
21709,Fiery Phoenix,TapRPG 2 - The Second One
21710,NEOWIZ,TapSonic World Champion VR
21711,Catland,Taphouse VR
21712,Atriagames,Tapocalypse
21713,TarasB,Taras Bulba and platforms of Hoolion
21714,One Wing Cicada,Tardy
21715,Kedexa,Target speed
21716,Akim Games,Tarim: Guardians
21717,Crazysoft Limited,Tarot Readings Premium
21718,Laush Dmitriy Sergeevich,Task is to Survive
21719,Dingo Games,Tasty Blue
21720,Dingo Games,Tasty Planet
21721,Dingo Games,Tasty Planet Forever
21722,Dingo Games,Tasty Planet: Back for Seconds
21723,BlueLine Games,Tatsu
21724,"Little Flag Software, LLC",Tattletail
21725,Double Digit Games,Tavern Table Tactics
21726,From The Bard,Tavernier
21727,Excalibur Publishing,Taxi
21728,petraguardsoftware.com,Taxi
21729,Wesley Pyburn,TcNo TimeKeeper
21730,Marcelo Barbosa,Tcheco in the Castle of Lucio
21731,"Liens, Power Up to Maximum",Tea Party Simulator 2015
21732,TealDev,Teal
21733,Radical Piece,Team A.R.G. Anthology
21734,Valve,Team Fortress 2
21735,Shadow Blade Productions,Team Four Star RPG
21736,Brightside Games,Team Indie
21737,Gamious,Team Racing League
21738,Innolabs,Team Up VR (Beta)
21739,Team D.T.R.,"Tears - 9, 10"
21740,KEMCO,Tears Revolude
21741,Back To Basics Gaming,Tears of a Dragon
21742,Impossible Mystery Games,Tearstone
21743,"WEB Gaming Entertainment, Dream Vision Games",Tech Executive Tycoon
21744,Arrible,Techno Boy
21745,Wadjet Eye Games,Technobabylon
21746,ZUGALU ENTERTAINMENT,Technolites: Episode 1
21747,CASGames,Technotron Defense
21748,Argus Games,Techwars Deathmatch
21749,Argus Games,Techwars Online
21750,Black Sun Game Publishing,Techwars: Global Conflict
21751,Tonye Amienyo,Teck Boxing 3D
21752,Proteus Pixel,Ted by Dawn
21753,Forever Entertainment S. A.,Teddy Floppy Ear - Kayaking
21754,Forever Entertainment S. A.,Teddy Floppy Ear - Mountain Adventure
21755,Forever Entertainment S. A.,Teddy Floppy Ear - The Race
21756,Rage Monster Games,Teddy Terror
21757,Barkers Crest Studio LLC,Tee Time Golf
21758,Nickelodeon,Teenage Mutant Ninja Turtles: Portal Power
21759,The Burning Red Design,Teeny Heist
21760,Teeworlds Team,Teeworlds
21761,nonPareil Institute,Tekling
21762,nonPareil Institute,Tekling 2
21763,Tim Veletta,TeleBlast
21764,Paradox Interactive,Teleglitch: Die More Edition
21765,TheBlavas,Telekinetic
21766,Sinister Design,Telepath Tactics
21767,Creashock studios,Telepathy Zero
21768,PixelGreeds,Teleportals. I swear it's a nice game
21769,"Teleporter Realities, Inc.",Teleporter
21770,Telia,Telia VR conference
21771,LizardFactory,Tell Me Everything
21772,Sun Labyrinth LLC,Tell a Demon
21773,Telltale Games,Telltale Texas Hold ‘Em
21774,Telltale Games,Telltale Texas Hold ‘Em
21775,"Telophase Studios, LLC",Telophase
21776,Atari Inc,Tempest 4000
21777,Aartform Games,Tempest Citadel
21778,DLsite,Tempest of the Heavens and Earth
21779,HeroCraft,Tempest: Pirate Action RPG
21780,Trese Brothers,Templar Battleforce
21781,For Kids,Temple Escape
21782,"Space Wedgie, LLC",Temple Raid VR
21783,Birdwards,Temple Scramble
21784,Silver Machine Studios,Temple of Aluxes
21785,www.dev-zoo.net,Temple of Rust
21786,Tigrido Inc,Temple of Spikes
21787,Hannes Delbeke,Temple of Xiala
21788,Attraction Studios,Temple of the Apsara
21789,dosinis,Temple of the Lost
21790,Tempo Wizard,Tempo Wizard
21791,Four Lights,Temporal Shift
21792,Crystalmesh Studios,Temporal Storm X: Hyperspace Dream
21793,James Earl Cox III,Temporality
21794,Laush Studio,Temptation
21795,Nightdive Studios,Tender Loving Care
21796,"Owen Smallwood, Duncan Boyes",TendyTrainer
21797,Nyamyam,Tengami
21798,Bartoš Studio,Tengutana
21799,"Software Wolf, ITC Studio",Tennis Arcade VR
21800,Mana Games,Tennis Elbow 2013
21801,Appnori Inc.,Tennis Kings VR
21802,Gersh Games LLC,Tennis Story
21803,Bigben Interactive,Tennis World Tour
21804,10tons Ltd,Tennis in the Face
21805,AbstractGameStudio,TennisVR
21806,Cleverweek,Tenrow
21807,Tenshu General,Tenshu General
21808,Henteko Doujin,Tenta Shooter / The 触シュー
21809,Salty Sloth Studios L.L.C.,Tentacult!
21810,Lionmoon UG,Tentlan
21811,IriySoft,Tequila Zombies 3
21812,Screen 7,TeraBlaster
21813,Shiny Moss,Teratini VR
21814,ElZzap Software,Teria
21815,NA,TerkEngine
21816,Strategy Mill,Terminal Conflict
21817,Lord_Loej,Terminal Hacker
21818,SecuritySession.com,Terminal Hacker - Into the Deep
21819,Milan Toth,Termite
21820,Polar Night Games,Terra Feminarum
21821,Back To Basics Gaming,Terra Incognita ~ Chapter One: The Descendant
21822,Funbox Media Ltd,Terra Lander Remastered
21823,DIGIDICED,Terra Mystica
21824,Moss Piglet Games,Terra Tanks: Defenders of the Earth
21825,Payload Studios,TerraTech
21826,Holgersson Entertainment,Terraform
21827,"Vermont Software Studios,LLC",Terraformer Expedition to Mars
21828,Asmodee Digital,Terraforming Mars
21829,Re-Logic,Terraria
21830,Layer games,Terrarium Land
21831,Digital Tribe,Terrian Saga: KR-17
21832,General Interactive Co.,Terroir
21833,TheBlavas,Terror
21834,Microids Indie,Terror Lab
21835,GHSSJ,Terror World
21836,Koala Squad,Terror for Two
21837,Dan Walters,Terrorhedron Tower Defense
21838,ReverseGames,Terrorist Elimination
21839,Archetype Global,Tesla Breaks the World!
21840,SEGA,Tesla Effect: A Tex Murphy Adventure
21841,10tons Ltd,Tesla vs Lovecraft
21842,Big Fish Games,Tesla's Tower: The Wardenclyffe Mystery
21843,"Thoughtquake Studios, LLC",Tesla: The Weather Man
21844,Rain Games,Teslagrad
21845,Propelled Bird Software,TesserAct
21846,Dreambox,Tesseract VR
21847,Evolved Games,Test Drive: Ferrari Racing Legends
21848,SpinVR,Test Subject 901
21849,Laush Studio,Test your knowledge: Cats
21850,Laush Studio,Test your knowledge: Cities
21851,Laush Studio,Test your knowledge: Dogs
21852,Lever Studios,Testbed Terror
21853,In Your Head Games LLC,Tet VR
21854,Secret Sorcery Limited,Tethered
21855,HA Studio Ltd.,Tetradecagon
