id,podjetje,ime_igre
607,Rasmus Rasmussen,Above the Fold
608,Light Loop Games,Above: The Fallen
609,Abraxas Interactive,Abraxas Interactive's PUSH
610,EJRGames,Abrix 2 - Brown version
611,EJRGames,Abrix 2 - Gold version
612,EJRGames,Abrix 2 - Silver version
613,OtakuMaker SARL,Abscond
614,Samuel Sprague,Absence
615,FNGames,Absent
616,Dylan Latham,Absent Mind
617,blackHound Studios GbR,Absinth
618,Dagestan Technology,Absoloot
619,Nicola Formisano,Absolute Adventure Nulla
620,Intermediaware,Absolute Blue: 2D Shoot'em'up Game
621,Funselektor Labs Inc.,Absolute Drift
622,Devolver Digital,Absolver
623,Credici,Abstract Arena
624,Alien Jellyfish,Abstractanoid
625,Gamera Game,Abyss Cave
626,SEGA,Abyss Odyssey
627,DarkStar Games,Abyss Raiders: Uncharted
628,Artifex Mundi,Abyss: The Wraiths of Eden
629,Blazing Stick,Abyssal Fall
630,Led,Abyssal Zone
631,Stefan Preuss,AcChen - Tile matching the Arcade way
632,"Black Chicken Studios, inc.",Academagia: The Making of Mages
633,Squeaky Wheel Studio Inc,Academia : School Simulator
634,Cyberith GmbH,Acan's Call: Act 1
635,Nodbrim Interactive,Acaratus
