ID,Ime,Drzava,Datum_ustanovitve,Opis
162,Black Rock Studio,United Kingdom,1998,Defunct in 2011
163,Black Wing Foundation,Ukraine,2006,
164,Blitz Games Studios,United Kingdom,1990,Liquidated[7]
165,Blizzard Entertainment,United States,1991,Developer/publisher; acquired by Vivendi and became part of Vivendi Games group in 1998; merged into Activision Blizzard in 2008
166,Bloober Team,Poland,2008,
167,Blue Byte,Germany,1988,Also a video game developer. Acquired by Ubisoft and their games are now published by Ubisoft.
168,Blue Fang Games,United States,1998,Shut down in 2011
169,Blue Ribbon,UK,1985,Label of CDS Micro Systems. Defunct in 1991.
170,Blue Tongue Entertainment,Australia,1995,Shut down in 2011; subsidiary of THQ
171,Bluehole,South Korea,2007,
172,Bluepoint Games,United States,2006,
173,Blueside,South Korea,2003,Founded by former employees of Phantagram
174,Bohemia Interactive,Czech Republic,1999,
175,Boss Fight Entertainment,United States,2013,
176,Boss Key Productions,United States,2014,Founded by Cliff Bleszinski and Arjan Brussee
177,"Box Office, Inc.",United States,1987,Published last game in 1989.
178,Brash Entertainment,United States,2007,Defunct in 2008.
179,BreakAway Games,United States,1998,
180,Broccoli,Japan,1994,
181,Broderbund,United States,1980,"Acquired by Ubisoft, eventually sold to The Learning Company. No longer publishes video games."
182,Brøderbund,United States,1980,Closed in 1998
183,Bubble Bus Software,UK,1982,Defunct in 1989.
184,BudgeCo,United States,1981,Defunct in 1983.
185,Bug-Byte,UK,1980,
186,Bugbear Entertainment,Finland,2000,Acquired by THQ Nordic in 2018
187,Bullet-Proof Software,Japan,1980,Defunct.
188,Bullfrog Productions,United Kingdom,1987,Acquired by Electronic Arts in 1995 and closed in 2001
189,Bungie,United States,1991,Formerly a subsidiary of Microsoft Game Studios
190,C&E,Taiwan,1990,No longer publishes video games.
191,CBS Electronics,United States,1982,Closed in 1984.
192,CCP Games,Iceland,1997,Their Newcastle studio was acquired by Sumo Digital. CCP Games itself was acquired by Pearl Abyss.
193,CD Projekt Red,Poland,2002,Game development studio of CD Projekt
194,CDS Software,UK,1982,Reformed as iDigicon Ltd in 2002.
195,CDV Software Entertainment AG,Germany,1989,Defunct in 2010.
